Symbol,Name,
,,
ATEN,"A10 Networks, Inc.",
ACN,Accenture Plc Class A,
ACIW,"ACI Worldwide, Inc.",
ADEA,Adeia Inc.,
ADBE,Adobe Inc.,
AEIS,"Advanced Energy Industries, Inc.",
AMD,"Advanced Micro Devices, Inc.",
AGYS,"Agilysys, Inc.",
AKAM,"Akamai Technologies, Inc.",
ALRM,"Alarm.com Holdings, Inc.",
ALGM,"Allegro MicroSystems, Inc.",
AOSL,Alpha and Omega Semiconductor Limited,
ALTR,Altair Engineering Inc. Class A,
AMKR,"Amkor Technology, Inc.",
APH,Amphenol Corporation Class A,
ADI,"Analog Devices, Inc.",
ANSS,"ANSYS, Inc.",
APPF,AppFolio Inc Class A,
AAPL,Apple Inc.,
AMAT,"Applied Materials, Inc.",
ANET,"Arista Networks, Inc.",
ARLO,"Arlo Technologies, Inc.",
ARW,"Arrow Electronics, Inc.",
ASGN,ASGN Incorporated,
AZPN,"Aspen Technology, Inc.",
ADSK,"Autodesk, Inc.",
AVT,"Avnet, Inc.",
ACLS,"Axcelis Technologies, Inc.",
BMI,"Badger Meter, Inc.",
BDC,Belden Inc.,
BHE,"Benchmark Electronics, Inc.",
BLKB,"Blackbaud, Inc.",
BL,"BlackLine, Inc.",
BOX,"Box, Inc. Class A",
AVGO,Broadcom Inc.,
CDNS,"Cadence Design Systems, Inc.",
CALX,"Calix, Inc.",
CDW,CDW Corporation,
CEVA,"CEVA, Inc.",
CIEN,Ciena Corporation,
CRUS,"Cirrus Logic, Inc.",
CSCO,"Cisco Systems, Inc.",
YOU,"Clear Secure, Inc. Class A",
CGNX,Cognex Corporation,
CTSH,Cognizant Technology Solutions Corporation Class A,
COHR,Coherent Corp.,
COHU,"Cohu, Inc.",
CVLT,"Commvault Systems, Inc.",
GLW,Corning Inc,
CRSR,"Corsair Gaming, Inc.",
CXT,"Crane NXT, Co.",
CRWD,"CrowdStrike Holdings, Inc. Class A",
CTS,CTS Corporation,
DELL,"Dell Technologies, Inc. Class C",
DGII,Digi International Inc.,
DOCN,"DigitalOcean Holdings, Inc.",
DIOD,Diodes Incorporated,
DOCU,"DocuSign, Inc.",
DLB,"Dolby Laboratories, Inc. Class A",
DV,"DoubleVerify Holdings, Inc.",
DBX,"Dropbox, Inc. Class A",
DXC,DXC Technology Co.,
DT,"Dynatrace, Inc.",
ENPH,"Enphase Energy, Inc.",
ENV,"Envestnet, Inc.",
EPAM,"EPAM Systems, Inc.",
PLUS,ePlus inc.,
EXTR,"Extreme Networks, Inc.",
FFIV,"F5, Inc.",
FN,Fabrinet,
FICO,Fair Isaac Corporation,
FSLR,"First Solar, Inc.",
FORM,"FormFactor, Inc.",
FTNT,"Fortinet, Inc.",
IT,"Gartner, Inc.",
GEN,Gen Digital Inc.,
GDDY,"GoDaddy, Inc. Class A",
HLIT,Harmonic Inc.,
HPE,Hewlett Packard Enterprise Co.,
HPQ,HP Inc.,
ICHR,"Ichor Holdings, Ltd.",
PI,"Impinj, Inc.",
NSIT,"Insight Enterprises, Inc.",
INTC,Intel Corporation,
IDCC,"InterDigital, Inc.",
IBM,International Business Machines Corporation,
INTU,Intuit Inc.,
IPGP,IPG Photonics Corporation,
ITRI,"Itron, Inc.",
JBL,Jabil Inc.,
JNPR,"Juniper Networks, Inc.",
KEYS,Keysight Technologies Inc,
KLAC,KLA Corporation,
KN,Knowles Corp.,
KLIC,"Kulicke & Soffa Industries, Inc.",
KD,Kyndryl Holdings Incorporation,
LRCX,Lam Research Corporation,
LSCC,Lattice Semiconductor Corporation,
LFUS,"Littelfuse, Inc.",
RAMP,"LiveRamp Holdings, Inc.",
LITE,"Lumentum Holdings, Inc.",
MTSI,"MACOM Technology Solutions Holdings, Inc.",
MANH,"Manhattan Associates, Inc.",
MARA,"MARA Holdings, Inc.",
MXL,"MaxLinear, Inc.",
MCHP,Microchip Technology Incorporated,
MU,"Micron Technology, Inc.",
MSFT,Microsoft Corporation,
MKSI,"MKS Instruments, Inc.",
MPWR,"Monolithic Power Systems, Inc.",
MSI,"Motorola Solutions, Inc.",
NABL,"N-able, Inc.",
VYX,NCR Voyix Corporation,
NTAP,"NetApp, Inc.",
NTCT,"NetScout Systems, Inc.",
NOVT,Novanta Inc,
NVDA,NVIDIA Corporation,
NXPI,NXP Semiconductors NV,
ON,ON Semiconductor Corporation,
ONTO,"Onto Innovation, Inc.",
ORCL,Oracle Corporation,
OSIS,"OSI Systems, Inc.",
PLTR,Palantir Technologies Inc. Class A,
PANW,"Palo Alto Networks, Inc.",
CNXN,"PC Connection, Inc.",
PDFS,"PDF Solutions, Inc.",
PENG,"Penguin Solutions, Inc.",
PLAB,"Photronics, Inc.",
PLXS,Plexus Corp.,
POWI,"Power Integrations, Inc.",
PRGS,Progress Software Corporation,
PTC,PTC Inc.,
PSTG,"Pure Storage, Inc. Class A",
QRVO,"Qorvo, Inc.",
QCOM,QUALCOMM Incorporated,
QLYS,"Qualys, Inc.",
RMBS,Rambus Inc.,
ROG,Rogers Corporation,
ROP,"Roper Technologies, Inc.",
CRM,"Salesforce, Inc.",
SANM,Sanmina Corporation,
SCSC,"ScanSource, Inc.",
STX,Seagate Technology Holdings PLC,
SMTC,Semtech Corporation,
NOW,"ServiceNow, Inc.",
SLAB,Silicon Laboratories Inc.,
SITM,SiTime Corporation,
SWKS,"Skyworks Solutions, Inc.",
SEDG,"SolarEdge Technologies, Inc.",
