Symbol,Name,
ANF,Abercrombie & Fitch Co. Class A,
ASO,"Academy Sports and Outdoors, Inc.",
ADNT,Adient plc,
ATGE,Adtalem Global Education Inc.,
AAP,"Advance Auto Parts, Inc.",
ABNB,"Airbnb, Inc. Class A",
AMZN,"Amazon.com, Inc.",
AXL,"American Axle & Manufacturing Holdings, Inc.",
AEO,"American Eagle Outfitters, Inc.",
APTV,Aptiv PLC,
ARMK,Aramark,
ABG,"Asbury Automotive Group, Inc.",
ALV,Autoliv Inc.,
AN,"AutoNation, Inc.",
AZO,"AutoZone, Inc.",
BBWI,"Bath & Body Works, Inc.",
BBY,"Best Buy Co., Inc.",
BJRI,"BJ's Restaurants, Inc.",
BLMN,"Bloomin' Brands, Inc.",
BKNG,Booking Holdings Inc.,
BOOT,"Boot Barn Holdings, Inc.",
BWA,BorgWarner Inc.,
BYD,Boyd Gaming Corporation,
EAT,"Brinker International, Inc.",
BC,Brunswick Corporation,
BKE,"Buckle, Inc.",
BURL,"Burlington Stores, Inc.",
CZR,Caesars Entertainment Inc,
CAL,"Caleres, Inc.",
CPRI,Capri Holdings Limited,
KMX,"CarMax, Inc.",
CCL.U,Carnival Corporation,
CRI,Carter's Incorporated,
CVCO,"Cavco Industries, Inc.",
CCS,"Century Communities, Inc.",
CAKE,Cheesecake Factory Incorporated,
CMG,"Chipotle Mexican Grill, Inc.",
CHH,"Choice Hotels International, Inc.",
CHDN,Churchill Downs Incorporated,
COLM,Columbia Sportswear Company,
CBRL,"Cracker Barrel Old Country Store, Inc.",
CROX,"Crocs, Inc.",
DHI,"D.R. Horton, Inc.",
DAN,Dana Incorporated,
DRI,"Darden Restaurants, Inc.",
PLAY,"Dave & Buster's Entertainment, Inc.",
DECK,Deckers Outdoor Corporation,
DKS,"Dick's Sporting Goods, Inc.",
DPZ,"Domino's Pizza, Inc.",
DORM,"Dorman Products, Inc.",
DUOL,"Duolingo, Inc. Class A",
EBAY,eBay Inc.,
ETD,Ethan Allen Interiors Inc.,
ETSY,"Etsy, Inc.",
EXPE,"Expedia Group, Inc.",
FIVE,"Five Below, Inc.",
FND,"Floor & Decor Holdings, Inc. Class A",
FL,"Foot Locker, Inc.",
F,Ford Motor Company,
FOXF,Fox Factory Holding Corp.,
FTDR,"Frontdoor, Inc.",
GIII,"G-III Apparel Group, Ltd.",
GME,GameStop Corp. Class A,
GAP,"Gap, Inc.",
GRMN,Garmin Ltd.,
GM,General Motors Company,
GNTX,Gentex Corporation,
THRM,Gentherm Incorporated,
GPC,Genuine Parts Company,
GDEN,"Golden Entertainment, Inc.",
GT,Goodyear Tire & Rubber Company,
GHC,Graham Holdings Co. Class B,
LOPE,"Grand Canyon Education, Inc.",
GRBK,"Green Brick Partners, Inc.",
GPI,"Group 1 Automotive, Inc.",
GES,"Guess?, Inc.",
HRB,"H&R Block, Inc.",
HBI,Hanesbrands Inc.,
HOG,"Harley-Davidson, Inc.",
HAS,"Hasbro, Inc.",
HELE,Helen of Troy Limited,
HGV,"Hilton Grand Vacations, Inc.",
HLT,Hilton Worldwide Holdings Inc.,
HD,"Home Depot, Inc.",
H,Hyatt Hotels Corporation Class A,
IBP,"Installed Building Products, Inc.",
JACK,Jack in the Box Inc.,
KBH,KB Home,
KSS,Kohl's Corporation,
KTB,"Kontoor Brands, Inc.",
LZB,La-Z-Boy Incorporated,
LVS,Las Vegas Sands Corp.,
LCII,LCI Industries,
LEA,Lear Corporation,
LEG,"Leggett & Platt, Incorporated",
LEN,Lennar Corporation Class A,
LESL,"Leslie's, Inc.",
LGIH,"LGI Homes, Inc.",
LNW,"Light & Wonder, Inc.",
LAD,"Lithia Motors, Inc.",
LKQ,LKQ Corporation,
LOW,"Lowe's Companies, Inc.",
LULU,lululemon athletica inc.,
MHO,"M/I Homes, Inc.",
M,"Macy's, Inc.",
HZO,"MarineMax, Inc.",
MAR,"Marriott International, Inc. Class A",
VAC,Marriott Vacations Worldwide Corporation,
MAT,"Mattel, Inc.",
MCD,McDonald's Corporation,
MTH,Meritage Homes Corporation,
MGM,MGM Resorts International,
MCW,"Mister Car Wash, Inc.",
MHK,"Mohawk Industries, Inc.",
MCRI,"Monarch Casino & Resort, Inc.",
MNRO,"Monro, Inc.",
MUSA,"Murphy USA, Inc.",
EYE,"National Vision Holdings, Inc.",
NWL,Newell Brands Inc,
NKE,"NIKE, Inc. Class B",
JWN,"Nordstrom, Inc.",
NCLH,Norwegian Cruise Line Holdings Ltd.,
NVR,"NVR, Inc.",
ORLY,"O'Reilly Automotive, Inc.",
ODP,ODP Corporation,
OLLI,Ollie's Bargain Outlet Holdings Inc,
OXM,"Oxford Industries, Inc.",
PZZA,"Papa John's International, Inc.",
PATK,"Patrick Industries, Inc.",
PENN,"PENN Entertainment, Inc.",
PAG,"Penske Automotive Group, Inc.",
PRDO,Perdoceo Education Corporation,
PHIN,PHINIA Inc.,
PLNT,"Planet Fitness, Inc. Class A",
PII,Polaris Inc.,
POOL,Pool Corporation,
PHM,"PulteGroup, Inc.",
PVH,PVH Corp.,
RL,Ralph Lauren Corporation Class A,
RH,RH,
ROST,"Ross Stores, Inc.",
RCL,Royal Caribbean Group,
SABR,Sabre Corporation,
SBH,"Sally Beauty Holdings, Inc.",
SCI,Service Corporation International,
SHAK,"Shake Shack, Inc. Class A",
SCVL,"Shoe Carnival, Inc.",
SIG,Signet Jewelers Limited,
FUN,Six Flags Entertainment Corporation,
SKX,"Skechers U.S.A., Inc. Class A",
SAH,"Sonic Automotive, Inc. Class A",
SONO,"Sonos, Inc.",
SMP,"Standard Motor Products, Inc.",
SBUX,Starbucks Corporation,
SHOO,"Steven Madden, Ltd.",
STRA,"Strategic Education, Inc.",
LRN,"Stride, Inc.",
RGR,"Sturm, Ruger & Company, Inc.",
TPR,"Tapestry, Inc.",
TMHC,Taylor Morrison Home Corporation,
TPX,"Tempur Sealy International, Inc.",
TSLA,"Tesla, Inc.",
TXRH,"Texas Roadhouse, Inc.",
THO,"Thor Industries, Inc.",
TJX,TJX Companies Inc,
TOL,"Toll Brothers, Inc.",
BLD,TopBuild Corp.,
MODG,Topgolf Callaway Brands Corp.,
TSCO,Tractor Supply Company,
TNL,Travel + Leisure Co.,
TPH,"Tri Pointe Homes, Inc.",
ULTA,Ulta Beauty Inc.,
UAA,"Under Armour, Inc. Class A",
UPBD,"Upbound Group, Inc.",
URBN,"Urban Outfitters, Inc.",
VFC,V.F. Corporation,
MTN,"Vail Resorts, Inc.",
VVV,"Valvoline, Inc.",
VSCO,Victoria's Secret & Company,
VSTO,Vista Outdoor Inc,
VC,Visteon Corporation,
WEN,Wendy's Company,
WHR,Whirlpool Corporation,
WSM,"Williams-Sonoma, Inc.",
WING,"Wingstop, Inc.",
WGO,"Winnebago Industries, Inc.",
WWW,"Wolverine World Wide, Inc.",
WOR,"Worthington Enterprises, Inc.",
WH,"Wyndham Hotels & Resorts, Inc.",
WYNN,"Wynn Resorts, Limited",
XPEL,"XPEL, Inc.",
YETI,"YETI Holdings, Inc.",
YUM,"Yum! Brands, Inc.",
