Symbol,Name,
,,
ASIX,"Advansix, Inc.",
APD,"Air Products and Chemicals, Inc.",
ALB,Albemarle Corporation,
AA,Alcoa Corporation,
AMR,"Alpha Metallurgical Resources, Inc.",
AMCR,Amcor PLC,
ATR,"AptarGroup, Inc.",
ALTM,Arcadium Lithium Plc,
ARCH,"Arch Resources, Inc. Class A",
ASH,Ashland Inc.,
ATI,ATI Inc.,
AVY,Avery Dennison Corporation,
AVNT,Avient Corporation,
AXTA,Axalta Coating Systems Ltd.,
BCPC,Balchem Corp,
BALL,Ball Corporation,
BERY,Berry Global Group Inc,
CBT,Cabot Corporation,
CRS,Carpenter Technology Corporation,
CE,Celanese Corporation,
CENX,Century Aluminum Company,
CF,"CF Industries Holdings, Inc.",
CC,Chemours Co.,
CLW,Clearwater Paper Corporation,
CLF,Cleveland-Cliffs Inc,
CMC,Commercial Metals Company,
CTVA,Corteva Inc,
CCK,"Crown Holdings, Inc.",
DOW,"Dow, Inc.",
DD,"DuPont de Nemours, Inc.",
EXP,Eagle Materials Inc.,
EMN,Eastman Chemical Company,
ECL,Ecolab Inc.,
FMC,FMC Corporation,
FCX,"Freeport-McMoRan, Inc.",
GPK,Graphic Packaging Holding Company,
GEF,Greif Inc Class A,
FUL,H.B. Fuller Company,
HWKN,"Hawkins, Inc.",
HAYN,"Haynes International, Inc.",
NGVT,Ingevity Corporation,
IOSP,Innospec Inc.,
IFF,International Flavors & Fragrances Inc.,
IP,International Paper Company,
KALU,Kaiser Aluminum Corporation,
KNF,Knife River Corporation,
KOP,Koppers Holdings Inc.,
LIN,Linde plc,
LPX,Louisiana-Pacific Corporation,
LYB,LyondellBasell Industries NV,
MLM,"Martin Marietta Materials, Inc.",
MTRN,Materion Corporation,
MATV,"Mativ Holdings, Inc.",
MTUS,Metallus Inc.,
MTX,Minerals Technologies Inc.,
MOS,Mosaic Company,
MP,MP Materials Corp Class A,
MYE,"Myers Industries, Inc.",
NEU,NewMarket Corporation,
NEM,Newmont Corporation,
NUE,Nucor Corporation,
OI,O-I Glass Inc,
OLN,Olin Corporation,
PKG,Packaging Corporation of America,
PPG,"PPG Industries, Inc.",
KWR,Quaker Houghton,
RS,"Reliance, Inc.",
RGLD,"Royal Gold, Inc.",
RPM,RPM International Inc.,
SMG,Scotts Miracle-Gro Company Class A,
SEE,Sealed Air Corporation,
SXT,Sensient Technologies Corporation,
SHW,Sherwin-Williams Company,
SLGN,Silgan Holdings Inc.,
SW,Smurfit Westrock PLC,
SON,Sonoco Products Company,
STLD,"Steel Dynamics, Inc.",
SCL,Stepan Co,
SXC,"SunCoke Energy, Inc.",
SLVM,Sylvamo Corporation,
X,United States Steel Corporation,
VMC,Vulcan Materials Company,
HCC,"Warrior Met Coal, Inc.",
WLK,Westlake Corporation,
WS,"Worthington Steel, Inc.",
